tool_tested,persona,num_choices,llm_choice,correct_choice,is_correct
search_ai_agent,problem_oriented,50,search_ai_agent,search_ai_agent,1
search_ai_agent,goal_oriented,50,search_ai_agent,search_ai_agent,1
search_ai_agent,category_aware,50,search_ai_agent,search_ai_agent,1
search_ai_agent,function_specific,50,search_ai_agent,search_ai_agent,1
search_ai_agent,tool_explicit,50,search_ai_agent,search_ai_agent,1
validate-openapi-using-apimatic,problem_oriented,50,validate-openapi-using-apimatic,validate-openapi-using-apimatic,1
validate-openapi-using-apimatic,category_aware,50,validate-openapi-using-apimatic,validate-openapi-using-apimatic,1
validate-openapi-using-apimatic,function_specific,50,validate-openapi-using-apimatic,validate-openapi-using-apimatic,1
validate-openapi-using-apimatic,goal_oriented,50,validate-openapi-using-apimatic,validate-openapi-using-apimatic,1
validate-openapi-using-apimatic,tool_explicit,50,validate-openapi-using-apimatic,validate-openapi-using-apimatic,1
AWS CDK Project Analysis,problem_oriented,50,AWS CDK Project Analysis,AWS CDK Project Analysis,1
AWS CDK Project Analysis,category_aware,50,AWS CDK Project Analysis,AWS CDK Project Analysis,1
AWS CDK Project Analysis,function_specific,50,AWS CDK Project Analysis,AWS CDK Project Analysis,1
AWS CDK Project Analysis,goal_oriented,50,AWS CDK Project Analysis,AWS CDK Project Analysis,1
AWS CDK Project Analysis,tool_explicit,50,AWS CDK Project Analysis,AWS CDK Project Analysis,1
AWS and AWSCC Provider Documentation,problem_oriented,50,Chat,AWS and AWSCC Provider Documentation,0
AWS and AWSCC Provider Documentation,category_aware,50,AWS and AWSCC Provider Documentation,AWS and AWSCC Provider Documentation,1
AWS and AWSCC Provider Documentation,goal_oriented,50,AWS and AWSCC Provider Documentation,AWS and AWSCC Provider Documentation,1
AWS and AWSCC Provider Documentation,function_specific,50,AWS and AWSCC Provider Documentation,AWS and AWSCC Provider Documentation,1
AWS and AWSCC Provider Documentation,tool_explicit,50,AWS and AWSCC Provider Documentation,AWS and AWSCC Provider Documentation,1
AWS-IA GenAI Modules,problem_oriented,50,smart_search_internal_knowledge,AWS-IA GenAI Modules,0
AWS-IA GenAI Modules,goal_oriented,50,deepseek_r1,AWS-IA GenAI Modules,0
AWS-IA GenAI Modules,function_specific,50,AWS-IA GenAI Modules,AWS-IA GenAI Modules,1
Analyze and Visualize Costs,problem_oriented,50,Analyze and Visualize Costs,Analyze and Visualize Costs,1
AWS-IA GenAI Modules,tool_explicit,50,AWS-IA GenAI Modules,AWS-IA GenAI Modules,1
Analyze and Visualize Costs,goal_oriented,50,Analyze and Visualize Costs,Analyze and Visualize Costs,1
Analyze and Visualize Costs,category_aware,50,Analyze and Visualize Costs,Analyze and Visualize Costs,1
Analyze and Visualize Costs,function_specific,50,Analyze and Visualize Costs,Analyze and Visualize Costs,1
Analyze and Visualize Costs,tool_explicit,50,Analyze and Visualize Costs,Analyze and Visualize Costs,1
CDK Construct Recommendations,problem_oriented,50,AWS CDK Project Analysis,CDK Construct Recommendations,0
CDK Construct Recommendations,goal_oriented,50,CDK Construct Recommendations,CDK Construct Recommendations,1
CDK Construct Recommendations,category_aware,50,CDK Construct Recommendations,CDK Construct Recommendations,1
CDK Construct Recommendations,tool_explicit,50,CDK Construct Recommendations,CDK Construct Recommendations,1
CDK Construct Recommendations,function_specific,50,CDK Construct Recommendations,CDK Construct Recommendations,1
Calculate Routes Between Locations,problem_oriented,50,Calculate Routes Between Locations,Calculate Routes Between Locations,1
Calculate Routes Between Locations,goal_oriented,50,Calculate Routes Between Locations,Calculate Routes Between Locations,1
Calculate Routes Between Locations,category_aware,50,Calculate Routes Between Locations,Calculate Routes Between Locations,1
Calculate Routes Between Locations,function_specific,50,Calculate Routes Between Locations,Calculate Routes Between Locations,1
Checkov Integration,problem_oriented,50,Checkov Integration,Checkov Integration,1
Calculate Routes Between Locations,tool_explicit,50,Calculate Routes Between Locations,Calculate Routes Between Locations,1
Checkov Integration,goal_oriented,50,Checkov Integration,Checkov Integration,1
Checkov Integration,category_aware,50,Checkov Integration,Checkov Integration,1
Checkov Integration,tool_explicit,50,Checkov Integration,Checkov Integration,1
Checkov Integration,function_specific,50,Checkov Integration,Checkov Integration,1
AWS-IA GenAI Modules,category_aware,50,AWS-IA GenAI Modules,AWS-IA GenAI Modules,1
Code Scanning for Secure Diagram Generation,problem_oriented,50,Code Scanning for Secure Diagram Generation,Code Scanning for Secure Diagram Generation,1
Code Scanning for Secure Diagram Generation,function_specific,50,Code Scanning for Secure Diagram Generation,Code Scanning for Secure Diagram Generation,1
Code Scanning for Secure Diagram Generation,goal_oriented,50,Code Scanning for Secure Diagram Generation,Code Scanning for Secure Diagram Generation,1
Code Scanning for Secure Diagram Generation,tool_explicit,50,Code Scanning for Secure Diagram Generation,Code Scanning for Secure Diagram Generation,1
Code Scanning for Secure Diagram Generation,category_aware,50,Code Scanning for Secure Diagram Generation,Code Scanning for Secure Diagram Generation,1
Color-Guided Image Generation,problem_oriented,50,Color-Guided Image Generation,Color-Guided Image Generation,1
Color-Guided Image Generation,goal_oriented,50,Color-Guided Image Generation,Color-Guided Image Generation,1
Color-Guided Image Generation,category_aware,50,Color-Guided Image Generation,Color-Guided Image Generation,1
Convert Documentation to Markdown,problem_oriented,50,Convert Documentation to Markdown,Convert Documentation to Markdown,1
Color-Guided Image Generation,function_specific,50,Color-Guided Image Generation,Color-Guided Image Generation,1
Color-Guided Image Generation,tool_explicit,50,Color-Guided Image Generation,Color-Guided Image Generation,1
Convert Documentation to Markdown,goal_oriented,50,Convert Documentation to Markdown,Convert Documentation to Markdown,1
Convert Documentation to Markdown,function_specific,50,Convert Documentation to Markdown,Convert Documentation to Markdown,1
Convert Documentation to Markdown,tool_explicit,50,Convert Documentation to Markdown,Convert Documentation to Markdown,1
Convert Documentation to Markdown,category_aware,50,Convert Documentation to Markdown,Convert Documentation to Markdown,1
Customize Diagram Appearance,function_specific,50,Customize Diagram Appearance,Customize Diagram Appearance,1
Customize Diagram Appearance,goal_oriented,50,Customize Diagram Appearance,Customize Diagram Appearance,1
Customize Diagram Appearance,category_aware,50,Customize Diagram Appearance,Customize Diagram Appearance,1
Customize Diagram Appearance,tool_explicit,50,Customize Diagram Appearance,Customize Diagram Appearance,1
Discover Knowledge Bases,goal_oriented,50,Discover Knowledge Bases,Discover Knowledge Bases,1
Discover Knowledge Bases,problem_oriented,50,Discover Knowledge Bases,Discover Knowledge Bases,1
Discover Knowledge Bases,category_aware,50,Discover Knowledge Bases,Discover Knowledge Bases,1
Discover Knowledge Bases,function_specific,50,Discover Knowledge Bases,Discover Knowledge Bases,1
Discover Knowledge Bases,tool_explicit,50,Discover Knowledge Bases,Discover Knowledge Bases,1
File Access with Text and Binary Support,goal_oriented,50,s3_object_read,File Access with Text and Binary Support,0
File Access with Text and Binary Support,problem_oriented,50,File Access with Text and Binary Support,File Access with Text and Binary Support,1
File Access with Text and Binary Support,category_aware,50,File Access with Text and Binary Support,File Access with Text and Binary Support,1
Customize Diagram Appearance,problem_oriented,50,Customize Diagram Appearance,Customize Diagram Appearance,1
Filter Results by Data Source,problem_oriented,50,Filter Results by Data Source,Filter Results by Data Source,1
File Access with Text and Binary Support,function_specific,50,s3_object_read,File Access with Text and Binary Support,0
File Access with Text and Binary Support,tool_explicit,50,File Access with Text and Binary Support,File Access with Text and Binary Support,1
Filter Results by Data Source,goal_oriented,50,Filter Results by Data Source,Filter Results by Data Source,1
Filter Results by Data Source,category_aware,50,Filter Results by Data Source,Filter Results by Data Source,1
Filter Results by Data Source,function_specific,50,Filter Results by Data Source,Filter Results by Data Source,1
Filter Results by Data Source,tool_explicit,50,Filter Results by Data Source,Filter Results by Data Source,1
Generate Cost Reports and Insights,problem_oriented,50,Generate Cost Reports and Insights,Generate Cost Reports and Insights,1
Generate Cost Reports and Insights,category_aware,50,Generate Cost Reports and Insights,Generate Cost Reports and Insights,1
Generate Cost Reports and Insights,function_specific,50,Generate Cost Reports and Insights,Generate Cost Reports and Insights,1
Generate Cost Reports and Insights,goal_oriented,50,Generate Cost Reports and Insights,Generate Cost Reports and Insights,1
Generate Cost Reports and Insights,tool_explicit,50,Generate Cost Reports and Insights,Generate Cost Reports and Insights,1
Generate Professional Diagrams,category_aware,50,Generate Professional Diagrams,Generate Professional Diagrams,1
Generate Professional Diagrams,problem_oriented,50,Generate Professional Diagrams,Generate Professional Diagrams,1
Generate Professional Diagrams,tool_explicit,50,Generate Professional Diagrams,Generate Professional Diagrams,1
Generate Professional Diagrams,function_specific,50,Generate Professional Diagrams,Generate Professional Diagrams,1
Get Content Recommendations,goal_oriented,50,Get Content Recommendations,Get Content Recommendations,1
Generate Professional Diagrams,goal_oriented,50,Generate Professional Diagrams,Generate Professional Diagrams,1
Get Content Recommendations,problem_oriented,50,Get Content Recommendations,Get Content Recommendations,1
Get Content Recommendations,category_aware,50,Get Content Recommendations,Get Content Recommendations,1
Get Content Recommendations,function_specific,50,Get Content Recommendations,Get Content Recommendations,1
Get Details for Specific Places,problem_oriented,50,Get Details for Specific Places,Get Details for Specific Places,1
Get Details for Specific Places,goal_oriented,50,Get Details for Specific Places,Get Details for Specific Places,1
Get Details for Specific Places,category_aware,50,Get Details for Specific Places,Get Details for Specific Places,1
Get Details for Specific Places,function_specific,50,Get Details for Specific Places,Get Details for Specific Places,1
Get Details for Specific Places,tool_explicit,50,Get Details for Specific Places,Get Details for Specific Places,1
GitHub Repository Search in AWS Organizations,problem_oriented,50,list-segment-efforts,GitHub Repository Search in AWS Organizations,0
GitHub Repository Search in AWS Organizations,goal_oriented,50,GitHub Repository Search in AWS Organizations,GitHub Repository Search in AWS Organizations,1
GitHub Repository Search in AWS Organizations,category_aware,50,GitHub Repository Search in AWS Organizations,GitHub Repository Search in AWS Organizations,1
GitHub Repository Search in AWS Organizations,tool_explicit,50,GitHub Repository Search in AWS Organizations,GitHub Repository Search in AWS Organizations,1
GitHub Repository Search in AWS Organizations,function_specific,50,GitHub Repository Search in AWS Organizations,GitHub Repository Search in AWS Organizations,1
Infrastructure as Code Best Practices,goal_oriented,50,Infrastructure as Code Best Practices,Infrastructure as Code Best Practices,1
Infrastructure as Code Best Practices,problem_oriented,50,Infrastructure as Code Best Practices,Infrastructure as Code Best Practices,1
Infrastructure as Code Best Practices,category_aware,50,Infrastructure as Code Best Practices,Infrastructure as Code Best Practices,1
Infrastructure as Code Best Practices,function_specific,50,Infrastructure as Code Best Practices,Infrastructure as Code Best Practices,1
Infrastructure as Code Best Practices,tool_explicit,50,Infrastructure as Code Best Practices,Infrastructure as Code Best Practices,1
Optimize Waypoints for Efficient Routing,problem_oriented,50,Optimize Waypoints for Efficient Routing,Optimize Waypoints for Efficient Routing,1
Optimize Waypoints for Efficient Routing,goal_oriented,50,Optimize Waypoints for Efficient Routing,Optimize Waypoints for Efficient Routing,1
Optimize Waypoints for Efficient Routing,category_aware,50,Optimize Waypoints for Efficient Routing,Optimize Waypoints for Efficient Routing,1
Optimize Waypoints for Efficient Routing,function_specific,50,Optimize Waypoints for Efficient Routing,Optimize Waypoints for Efficient Routing,1
Query Cost Data with Natural Language,goal_oriented,50,Query Cost Data with Natural Language,Query Cost Data with Natural Language,1
Query Cost Data with Natural Language,problem_oriented,50,get_detailed_breakdown_by_day,Query Cost Data with Natural Language,0
Optimize Waypoints for Efficient Routing,tool_explicit,50,Optimize Waypoints for Efficient Routing,Optimize Waypoints for Efficient Routing,1
Query Cost Data with Natural Language,category_aware,50,get_detailed_breakdown_by_day,Query Cost Data with Natural Language,0
Query Cost Data with Natural Language,function_specific,50,Query Cost Data with Natural Language,Query Cost Data with Natural Language,1
Query Cost Data with Natural Language,tool_explicit,50,Query Cost Data with Natural Language,Query Cost Data with Natural Language,1
Get Content Recommendations,tool_explicit,50,Get Content Recommendations,Get Content Recommendations,1
Query Knowledge Bases,category_aware,50,Query Knowledge Bases,Query Knowledge Bases,1
Query Knowledge Bases,goal_oriented,50,search,Query Knowledge Bases,0
Query Knowledge Bases,problem_oriented,50,brave_web_search,Query Knowledge Bases,0
Query Knowledge Bases,function_specific,50,Query Knowledge Bases,Query Knowledge Bases,1
Query Knowledge Bases,tool_explicit,50,Query Knowledge Bases,Query Knowledge Bases,1
Repository Indexing,problem_oriented,50,Repository Indexing,Repository Indexing,1
Repository Indexing,goal_oriented,50,Repository Indexing,Repository Indexing,1
Repository Indexing,category_aware,50,Repository Indexing,Repository Indexing,1
Repository Indexing,function_specific,50,Repository Indexing,Repository Indexing,1
Repository Indexing,tool_explicit,50,Repository Indexing,Repository Indexing,1
Repository Structure Analysis,problem_oriented,50,Repository Structure Analysis,Repository Structure Analysis,1
Repository Structure Analysis,goal_oriented,50,Repository Structure Analysis,Repository Structure Analysis,1
Repository Structure Analysis,function_specific,50,Repository Structure Analysis,Repository Structure Analysis,1
Repository Structure Analysis,category_aware,50,Repository Structure Analysis,Repository Structure Analysis,1
Repository Structure Analysis,tool_explicit,50,Repository Structure Analysis,Repository Structure Analysis,1
Rerank Results,goal_oriented,50,Rerank Results,Rerank Results,1
Rerank Results,problem_oriented,50,Rerank Results,Rerank Results,1
Rerank Results,category_aware,50,Rerank Results,Rerank Results,1
Rerank Results,tool_explicit,50,Rerank Results,Rerank Results,1
Rerank Results,function_specific,50,Rerank Results,Rerank Results,1
Reverse Geocode Coordinates to Addresses,problem_oriented,50,Reverse Geocode Coordinates to Addresses,Reverse Geocode Coordinates to Addresses,1
Reverse Geocode Coordinates to Addresses,category_aware,50,Reverse Geocode Coordinates to Addresses,Reverse Geocode Coordinates to Addresses,1
Reverse Geocode Coordinates to Addresses,goal_oriented,50,Reverse Geocode Coordinates to Addresses,Reverse Geocode Coordinates to Addresses,1
Reverse Geocode Coordinates to Addresses,function_specific,50,Reverse Geocode Coordinates to Addresses,Reverse Geocode Coordinates to Addresses,1
Reverse Geocode Coordinates to Addresses,tool_explicit,50,Reverse Geocode Coordinates to Addresses,Reverse Geocode Coordinates to Addresses,1
Run AWS Lambda Functions,category_aware,50,Run AWS Lambda Functions,Run AWS Lambda Functions,1
Run AWS Lambda Functions,problem_oriented,50,Run AWS Lambda Functions,Run AWS Lambda Functions,1
Run AWS Lambda Functions,goal_oriented,50,Run AWS Lambda Functions,Run AWS Lambda Functions,1
Run AWS Lambda Functions,function_specific,50,Run AWS Lambda Functions,Run AWS Lambda Functions,1
Run AWS Lambda Functions,tool_explicit,50,Run AWS Lambda Functions,Run AWS Lambda Functions,1
Save Generated Images,problem_oriented,50,Save Generated Images,Save Generated Images,1
Save Generated Images,category_aware,50,Save Generated Images,Save Generated Images,1
Save Generated Images,goal_oriented,50,Save Generated Images,Save Generated Images,1
Save Generated Images,function_specific,50,Save Generated Images,Save Generated Images,1
Save Generated Images,tool_explicit,50,Save Generated Images,Save Generated Images,1
Search Documentation,problem_oriented,50,Search Documentation,Search Documentation,1
Search Documentation,goal_oriented,50,Search Documentation,Search Documentation,1
Search Documentation,category_aware,50,Search Documentation,Search Documentation,1
Search for Places Near a Location,problem_oriented,50,Search for Places Near a Location,Search for Places Near a Location,1
Search Documentation,function_specific,50,Search Documentation,Search Documentation,1
Search Documentation,tool_explicit,50,Search Documentation,Search Documentation,1
Search for Places Near a Location,goal_oriented,50,Search for Places Near a Location,Search for Places Near a Location,1
Search for Places Near a Location,function_specific,50,Search for Places Near a Location,Search for Places Near a Location,1
Search for Places Near a Location,tool_explicit,50,Search for Places Near a Location,Search for Places Near a Location,1
Search for Places Near a Location,category_aware,50,Search for Places Near a Location,Search for Places Near a Location,1
Search for Places That Are Currently Open,problem_oriented,50,Search for Places That Are Currently Open,Search for Places That Are Currently Open,1
Search for Places That Are Currently Open,category_aware,50,Search for Places That Are Currently Open,Search for Places That Are Currently Open,1
