tool_tested,persona,num_choices,llm_choice,correct_choice,is_correct
search_ai_agent,category_aware,2000,search_ai_agent,search_ai_agent,1
search_ai_agent,goal_oriented,2000,search_ai_agent,search_ai_agent,1
search_ai_agent,function_specific,2000,search_ai_agent,search_ai_agent,1
search_ai_agent,problem_oriented,2000,search_ai_agent,search_ai_agent,1
search_ai_agent,tool_explicit,2000,search_ai_agent,search_ai_agent,1
validate-openapi-using-apimatic,problem_oriented,2000,validate-openapi-using-apimatic,validate-openapi-using-apimatic,1
validate-openapi-using-apimatic,goal_oriented,2000,validate-openapi-using-apimatic,validate-openapi-using-apimatic,1
validate-openapi-using-apimatic,category_aware,2000,validate-openapi-using-apimatic,validate-openapi-using-apimatic,1
validate-openapi-using-apimatic,function_specific,2000,validate-openapi-using-apimatic,validate-openapi-using-apimatic,1
AWS CDK Project Analysis,problem_oriented,2000,AWS CDK Project Analysis,AWS CDK Project Analysis,1
validate-openapi-using-apimatic,tool_explicit,2000,validate-openapi-using-apimatic,validate-openapi-using-apimatic,1
AWS CDK Project Analysis,goal_oriented,2000,AWS CDK Project Analysis,AWS CDK Project Analysis,1
AWS CDK Project Analysis,category_aware,2000,AWS CDK Project Analysis,AWS CDK Project Analysis,1
AWS CDK Project Analysis,function_specific,2000,AWS CDK Project Analysis,AWS CDK Project Analysis,1
AWS CDK Project Analysis,tool_explicit,2000,AWS CDK Project Analysis,AWS CDK Project Analysis,1
AWS and AWSCC Provider Documentation,category_aware,2000,AWS and AWSCC Provider Documentation,AWS and AWSCC Provider Documentation,1
AWS and AWSCC Provider Documentation,goal_oriented,2000,AWS and AWSCC Provider Documentation,AWS and AWSCC Provider Documentation,1
AWS and AWSCC Provider Documentation,problem_oriented,2000,Prompt LLM Conversation,AWS and AWSCC Provider Documentation,0
AWS and AWSCC Provider Documentation,function_specific,2000,AWS and AWSCC Provider Documentation,AWS and AWSCC Provider Documentation,1
AWS and AWSCC Provider Documentation,tool_explicit,2000,AWS and AWSCC Provider Documentation,AWS and AWSCC Provider Documentation,1
